Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),Date UTC /Day,Average Temperature(Celcius) /Day,Minimum Temperature(Celcius) /Day,Maximum Temperature(Celcius) /Day,Daily Precipitation(mm) /Day,Maximum Snowfall(mm) /Day,Wind Direction(Degrees) /Day,Wind Speed(km/h) /Day,Peak Wind Gust(km/h) /Day,Atmospheric Pressure(hPa) /Day,Sunshine Duration(m) /Day
UA,6/30/2022,2615,N835UA,IAD,23:35,23:30,73,70,-5,23:24,6,0,0,0,0,0,2022-06-30,25.6,16.7,32.8,0.0,0.0,125.0,6.8,,1022.0,
UA,7/1/2017,1500,N409UA,ORD,16:42,16:25,110,96,-17,16:20,5,0,0,0,0,0,2017-07-01,23.9,18.9,27.8,0.0,0.0,275.0,16.9,,1012.2,
UA,7/1/2018,1409,N15710,ORD,8:52,8:48,112,107,-4,8:43,5,0,0,0,0,0,2018-07-01,29.5,24.4,34.4,6.1,0.0,195.0,19.8,,,
UA,7/1/2019,607,N76269,ORD,21:18,22:28,118,112,70,22:23,5,70,0,0,0,0,2019-07-01,25.1,20.6,31.7,0.0,0.0,253.0,10.1,,1014.5,
UA,7/1/2019,2341,N13716,ORD,14:48,16:10,108,109,82,16:06,4,5,0,1,0,76,2019-07-01,25.1,20.6,31.7,0.0,0.0,253.0,10.1,,1014.5,
UA,7/1/2021,1240,N403UA,ORD,20:49,21:57,109,96,68,21:54,3,17,0,0,0,51,2021-07-01,21.8,15.0,24.4,0.0,0.0,22.0,21.6,,1016.5,
UA,7/1/2022,288,N804UA,ORD,16:53,16:46,115,109,-7,16:41,5,0,0,0,0,0,2022-07-01,25.8,19.4,27.8,0.0,0.0,52.0,10.8,,1013.6,
UA,7/1/2022,604,N892UA,DEN,15:04,14:45,199,184,-19,14:40,5,0,0,0,0,0,2022-07-01,19.4,11.7,30.0,4.1,0.0,115.0,12.2,,1015.2,
UA,7/1/2022,1503,N75432,ORD,23:59,0:18,114,104,19,0:12,6,5,0,0,0,14,2022-07-01,25.8,19.4,27.8,0.0,0.0,52.0,10.8,,1013.6,
UA,7/1/2022,2615,N827UA,IAD,23:35,1:08,73,76,93,1:02,6,1,0,3,0,89,2022-07-01,27.1,21.7,33.9,2.3,0.0,191.0,11.2,,1017.4,
UA,7/2/2017,1500,N475UA,ORD,16:35,16:16,110,93,-19,16:12,4,0,0,0,0,0,2017-07-02,23.6,16.7,31.7,0.0,0.0,252.0,15.5,,1015.8,
UA,7/2/2018,1864,N27724,IAD,13:47,13:25,82,65,-22,13:21,4,0,0,0,0,0,2018-07-02,28.4,21.1,35.0,0.0,0.0,,6.5,,1017.5,
UA,7/2/2019,607,N35204,ORD,21:38,23:12,118,162,94,23:08,4,0,0,44,0,50,2019-07-02,28.8,23.3,33.3,0.3,0.0,235.0,15.8,,1011.1,
UA,7/2/2021,1240,N851UA,ORD,20:49,21:06,109,117,17,21:03,3,9,0,8,0,0,2021-07-02,18.2,13.9,22.8,0.0,0.0,20.0,10.8,,1018.5,
UA,7/2/2022,535,N39416,ORD,0:15,0:14,114,101,-1,0:09,5,0,0,0,0,0,2022-07-02,23.7,18.3,30.6,0.0,0.0,27.0,10.4,,1016.7,
UA,7/2/2022,604,N833UA,DEN,15:04,14:54,199,190,-10,14:48,6,0,0,0,0,0,2022-07-02,22.1,13.9,32.2,0.0,0.0,158.0,12.6,,1012.3,
UA,7/2/2022,2615,N801UA,IAD,23:35,1:04,73,70,89,1:00,4,0,42,0,0,47,2022-07-02,27.4,23.9,32.8,0.0,0.0,204.0,9.4,,1013.9,
UA,7/3/2017,760,N440UA,ORD,20:41,21:26,111,93,45,21:20,6,29,0,0,0,16,2017-07-03,22.8,18.9,26.7,1.0,0.0,32.0,14.0,,1017.1,
UA,7/3/2017,1500,N437UA,ORD,16:42,16:22,110,96,-20,16:17,5,0,0,0,0,0,2017-07-03,22.8,18.9,26.7,1.0,0.0,32.0,14.0,,1017.1,
UA,7/3/2019,607,N86534,ORD,21:18,21:50,118,110,32,21:46,4,3,0,0,0,29,2019-07-03,25.3,20.6,30.0,10.4,0.0,72.0,10.8,,1012.0,
UA,7/3/2019,2341,N16701,ORD,14:48,14:33,108,100,-15,14:28,5,0,0,0,0,0,2019-07-03,25.3,20.6,30.0,10.4,0.0,72.0,10.8,,1012.0,
UA,7/3/2021,380,N16732,IAD,23:40,23:51,70,63,11,23:48,3,0,0,0,0,0,2021-07-03,21.3,16.1,26.7,0.0,0.0,318.0,15.5,,1009.9,
UA,7/3/2022,288,N453UA,ORD,16:53,16:32,115,99,-21,16:26,6,0,0,0,0,0,2022-07-03,25.9,20.0,31.1,0.0,0.0,68.0,10.1,,1019.0,
UA,7/3/2022,604,N465UA,DEN,15:04,15:21,199,195,17,15:15,6,17,0,0,0,0,2022-07-03,25.2,17.2,34.4,0.0,0.0,258.0,16.2,,1008.3,
UA,7/3/2022,1503,N75432,ORD,23:59,23:34,114,91,-25,23:28,6,0,0,0,0,0,2022-07-03,25.9,20.0,31.1,0.0,0.0,68.0,10.1,,1019.0,
UA,7/3/2022,2615,N850UA,IAD,23:35,23:59,73,74,24,23:45,14,23,0,1,0,0,2022-07-03,26.1,18.3,31.1,0.0,0.0,330.0,9.0,,1017.0,
UA,7/4/2017,1500,N481UA,ORD,16:35,16:08,110,93,-27,16:03,5,0,0,0,0,0,2017-07-04,22.4,17.8,28.3,0.0,0.0,41.0,11.9,,1018.1,
UA,7/4/2019,607,N802UA,ORD,21:19,21:38,119,125,19,21:34,4,13,0,6,0,0,2019-07-04,25.6,21.1,32.8,0.0,0.0,194.0,13.3,,1013.3,
UA,7/4/2019,2341,N14731,ORD,14:48,15:04,108,133,16,14:24,40,0,0,16,0,0,2019-07-04,25.6,21.1,32.8,0.0,0.0,194.0,13.3,,1013.3,
UA,7/4/2021,1240,N77430,ORD,20:49,20:38,109,101,-11,20:35,3,0,0,0,0,0,2021-07-04,26.2,21.1,31.7,0.0,0.0,255.0,11.5,,1013.5,
