Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),Date UTC /Day,Average Temperature(Celcius) /Day,Minimum Temperature(Celcius) /Day,Maximum Temperature(Celcius) /Day,Daily Precipitation(mm) /Day,Maximum Snowfall(mm) /Day,Wind Direction(Degrees) /Day,Wind Speed(km/h) /Day,Peak Wind Gust(km/h) /Day,Atmospheric Pressure(hPa) /Day,Sunshine Duration(m) /Day
UA,2/10/2019,607,N801UA,ORD,20:49,23:16,109,150,147,23:11,5,12,0,41,0,94,2019-02-10,-4.8,-5.5,-2.1,1.0,0.0,115.0,11.2,,1028.4,
UA,2/10/2020,1643,N76502,ORD,21:19,20:45,109,91,-34,20:40,5,0,0,0,0,0,2020-02-10,-0.1,-3.2,3.9,0.0,0.0,343.0,9.4,,1020.2,
UA,2/10/2022,1874,N445UA,IAD,23:44,23:29,69,66,-15,23:25,4,0,0,0,0,0,2022-02-10,8.3,-0.5,15.6,0.0,0.0,254.0,10.4,,1012.5,
UA,2/11/2019,607,N801UA,ORD,20:49,20:41,109,109,-8,20:36,5,0,0,0,0,0,2019-02-11,-2.2,-2.7,-0.5,4.8,30.0,62.0,19.8,,1019.8,
UA,2/11/2020,1643,N805UA,ORD,21:19,20:55,109,91,-24,20:50,5,0,0,0,0,0,2020-02-11,-0.7,-3.2,1.7,0.0,0.0,261.0,15.5,,1020.4,
UA,2/11/2022,1094,N489UA,ORD,20:59,21:28,109,109,29,21:22,6,29,0,0,0,0,2022-02-11,2.4,-2.1,6.7,2.0,0.0,249.0,24.1,,1003.0,
UA,2/11/2022,1200,N853UA,DEN,15:09,14:52,199,185,-17,14:47,5,0,0,0,0,0,2022-02-11,4.0,-4.9,8.3,6.1,0.0,355.0,18.0,,1019.1,
UA,2/11/2022,1874,N66828,IAD,23:29,23:16,69,67,-13,23:10,6,0,0,0,0,0,2022-02-11,6.1,-4.9,19.4,0.0,0.0,212.0,15.5,,1013.4,
UA,2/12/2019,607,N841UA,ORD,20:49,21:44,109,148,55,21:37,7,0,0,39,0,16,2019-02-12,0.0,-7.1,1.1,8.9,30.0,284.0,22.0,,1003.5,
UA,2/12/2020,1643,N54711,ORD,21:19,21:39,109,103,20,21:34,5,0,20,0,0,0,2020-02-12,-1.3,-4.3,2.8,4.6,0.0,211.0,8.6,,1015.9,
UA,2/12/2022,1094,N838UA,ORD,20:59,21:47,109,98,48,21:41,6,39,0,0,0,9,2022-02-12,-5.8,-10.5,-2.1,0.0,0.0,313.0,18.0,,1025.5,
UA,2/12/2022,1200,N818UA,DEN,15:09,15:25,199,196,16,15:20,5,16,0,0,0,0,2022-02-12,-3.9,-11.0,4.4,0.0,80.0,191.0,15.5,,1029.2,
UA,2/12/2022,1874,N62889,IAD,23:29,23:21,69,66,-8,23:16,5,0,0,0,0,0,2022-02-12,12.6,4.4,15.0,0.3,0.0,302.0,15.8,,1015.5,
UA,2/13/2019,607,N820UA,ORD,20:49,20:40,109,103,-9,20:33,7,0,0,0,0,0,2019-02-13,-7.5,-12.1,-2.7,0.3,50.0,243.0,20.5,,1013.2,
UA,2/13/2020,1643,N77518,ORD,21:19,0:17,109,112,178,0:12,5,0,15,3,0,160,2020-02-13,-4.4,-15.5,0.0,0.8,80.0,307.0,19.8,,1019.8,
UA,2/13/2022,1094,N880UA,ORD,20:59,20:52,109,104,-7,20:46,6,0,0,0,0,0,2022-02-13,-9.2,-11.0,-6.6,0.0,0.0,304.0,11.5,,1026.1,
