Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),Date UTC /Day,Average Temperature(Celcius) /Day,Minimum Temperature(Celcius) /Day,Maximum Temperature(Celcius) /Day,Daily Precipitation(mm) /Day,Maximum Snowfall(mm) /Day,Wind Direction(Degrees) /Day,Wind Speed(km/h) /Day,Peak Wind Gust(km/h) /Day,Atmospheric Pressure(hPa) /Day,Sunshine Duration(m) /Day
UA,12/13/2019,1643,N842UA,ORD,21:05,20:41,115,96,-24,20:38,3,0,0,0,0,0,2019-12-13,4.3,1.1,7.2,0.0,0.0,218.0,7.9,,1012.8,
UA,12/13/2021,2000,N894UA,ORD,20:51,20:45,111,110,-6,20:40,5,0,0,0,0,0,2021-12-13,5.8,0.6,9.4,0.0,0.0,248.0,12.2,,1022.3,
UA,12/13/2022,604,N835UA,DEN,14:57,16:00,194,242,63,15:55,5,15,0,48,0,0,2022-12-13,-4.6,-6.6,-4.3,4.6,0.0,344.0,20.9,,1002.9,
UA,12/13/2022,1998,N460UA,ORD,21:04,20:58,114,115,-6,20:53,5,0,0,0,0,0,2022-12-13,2.7,1.7,3.3,0.3,0.0,113.0,23.8,,1021.3,
UA,12/14/2019,524,N836UA,ORD,21:05,21:14,115,130,9,21:08,6,0,0,0,0,0,2019-12-14,0.4,-4.3,1.7,0.0,0.0,304.0,15.1,,1007.9,
UA,12/14/2021,2000,N845UA,ORD,20:51,20:57,111,119,6,20:50,7,0,0,0,0,0,2021-12-14,4.8,0.0,12.2,0.8,0.0,139.0,13.0,,1025.0,
UA,12/14/2022,308,N498UA,EWR,23:16,23:12,77,70,-4,23:08,4,0,0,0,0,0,2022-12-14,1.9,-1.0,5.6,0.0,0.0,321.0,19.4,,1021.0,
UA,12/14/2022,604,N835UA,DEN,14:57,15:00,194,195,3,14:51,9,0,0,0,0,0,2022-12-14,-5.1,-10.5,1.7,0.0,30.0,139.0,14.4,,1010.4,
UA,12/14/2022,1998,N805UA,ORD,21:04,20:55,114,98,-9,20:51,4,0,0,0,0,0,2022-12-14,4.1,2.8,6.7,35.1,0.0,106.0,21.6,,1008.0,
UA,12/15/2019,1643,N834UA,ORD,21:05,20:45,115,100,-20,20:39,6,0,0,0,0,0,2019-12-15,-4.7,-7.1,-3.2,0.0,0.0,249.0,9.7,,1018.8,
UA,12/15/2021,2000,N876UA,ORD,20:51,3:08,111,88,377,3:03,5,109,0,0,0,268,2021-12-15,13.4,10.0,18.9,0.0,0.0,191.0,30.6,,1010.7,
UA,12/15/2022,604,N433UA,DEN,14:58,14:58,193,198,0,14:51,7,0,0,0,0,0,2022-12-15,-6.3,-15.5,-0.5,0.0,30.0,319.0,17.3,,1016.5,
UA,12/15/2022,1998,N826UA,ORD,21:07,0:01,113,143,174,23:43,18,0,0,30,0,144,2022-12-15,2.6,-0.5,3.3,4.6,0.0,218.0,19.4,,1001.2,
UA,12/15/2022,2488,N27261,EWR,23:14,23:34,75,79,20,23:28,6,16,0,4,0,0,2022-12-15,2.4,0.0,6.7,17.3,0.0,41.0,19.4,,1020.3,
UA,12/16/2019,1643,N808UA,ORD,21:05,21:05,115,103,0,21:01,4,0,0,0,0,0,2019-12-16,-3.3,-4.3,-1.0,0.3,0.0,351.0,10.8,,1021.7,
UA,12/16/2021,2416,N818UA,IAD,23:10,23:09,70,61,-1,23:04,5,0,0,0,0,0,2021-12-16,11.3,6.1,20.6,0.0,0.0,197.0,17.3,,1019.5,
UA,12/16/2022,604,N820UA,DEN,14:58,15:38,193,188,40,15:34,4,0,0,0,0,40,2022-12-16,-6.6,-18.8,0.0,0.0,0.0,256.0,18.0,,1019.1,
UA,12/16/2022,1998,N878UA,ORD,21:07,22:05,113,130,58,21:51,14,25,0,17,0,16,2022-12-16,-0.9,-3.2,-0.5,0.5,0.0,224.0,22.0,,1004.6,
UA,12/17/2019,1643,N855UA,ORD,21:05,20:59,115,111,-6,20:51,8,0,0,0,0,0,2019-12-17,-3.9,-7.1,-1.6,0.0,0.0,279.0,17.3,,1019.7,
UA,12/17/2021,2416,N419UA,IAD,23:10,23:25,70,71,15,23:20,5,14,0,1,0,0,2021-12-17,15.0,11.7,17.2,0.0,0.0,3.0,9.7,,1020.1,
UA,12/17/2022,604,N442UA,DEN,14:58,15:33,193,194,35,15:27,6,34,0,1,0,0,2022-12-17,-7.1,-16.6,-1.0,0.0,0.0,167.0,17.3,,1018.2,
UA,12/17/2022,2645,N17752,ORD,23:57,23:49,107,103,-8,23:44,5,0,0,0,0,0,2022-12-17,-3.7,-6.0,-3.2,0.0,30.0,249.0,23.0,,1008.8,
